11月11日11時36分	青 決勝
シーツ補正X lidar(3833,1781),33	G(-3685,6440),N(-3718,6437)	RS(0,0)
シーツ補正X lidar(3833,1781),33	G(-3685,6440),N(-3718,6437)	RS(0,0)
シーツ補正X lidar(3833,1781),33	G(-3685,6440),N(-3718,6437)	RS(0,0)
シーツ補正X lidar(3827,1781),27	G(-3691,6440),N(-3718,6438)	RS(0,0)
シーツ補正X lidar(3827,1781),27	G(-3690,6440),N(-3717,6438)	RS(0,0)
シーツ補正X lidar(3818,1780),18	G(-3698,6440),N(-3716,6439)	RS(0,0)
シーツ補正X lidar(3818,1780),18	G(-3694,6440),N(-3712,6439)	RS(0,0)
シーツ補正X lidar(3813,1780),13	G(-3696,6440),N(-3709,6440)	RS(0,0)
シーツ補正X lidar(3813,1780),13	G(-3694,6440),N(-3707,6441)	RS(0,0)
シーツ補正X lidar(3805,1779),5	G(-3700,6440),N(-3705,6441)	RS(0,0)
シーツ補正X lidar(3805,1779),5	G(-3696,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3805,1779),5	G(-3695,6440),N(-3700,6444)	RS(0,0)
シーツ補正X lidar(3811,1780),11	G(-3688,6440),N(-3699,6444)	RS(0,0)
シーツ補正X lidar(3811,1780),11	G(-3688,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3791,1778),-9	G(-3708,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3791,1778),-9	G(-3708,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3788,1775),-12	G(-3711,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3788,1775),-12	G(-3711,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3790,1777),-10	G(-3709,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3790,1777),-10	G(-3709,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3790,1777),-10	G(-3709,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3786,1772),-14	G(-3713,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3786,1772),-14	G(-3713,6440),N(-3699,6445)	RS(0,0)
シーツ補正X lidar(3784,1769),-16	G(-3715,6440),N(-3699,6444)	RS(0,0)
