10月28日19時4分	青 予選
10月28日19時4分	青 予選
シーツ補正X lidar(3761,1788),1	G(-3772,6440),N(-3773,6452)	RS(871,2403)
シーツ補正X lidar(3796,1783),36	G(-3743,6440),N(-3779,6454)	RS(883,2405)
シーツ補正X lidar(3796,1783),36	G(-3748,6440),N(-3784,6455)	RS(897,2400)
シーツ補正X lidar(3796,1783),36	G(-3751,6440),N(-3787,6456)	RS(897,2400)
シーツ補正X 無視lidar(3821,1786),61	G(-3690,6440),N(-3791,6457)	RS(904,2390)
シーツ補正X 無視lidar(3821,1786),61	G(-3690,6440),N(-3791,6457)	RS(920,2393)
シーツ補正X 無視lidar(3838,1781),78	G(-3690,6440),N(-3791,6457)	RS(920,2393)
シーツ補正X 無視lidar(3838,1781),78	G(-3690,6440),N(-3791,6457)	RS(931,2392)
シーツ補正X lidar(3843,1787),83	G(-3706,6440),N(-3789,6456)	RS(937,2388)
シーツ補正X lidar(3843,1787),83	G(-3705,6440),N(-3788,6455)	RS(937,2388)
シーツ補正X lidar(3857,1779),97	G(-3689,6440),N(-3786,6453)	RS(940,2386)
シーツ補正X lidar(3857,1779),97	G(-3686,6440),N(-3783,6451)	RS(939,2379)
シーツ補正X lidar(3857,1779),97	G(-3680,6440),N(-3777,6447)	RS(939,2379)
シーツ補正X 無視lidar(3836,1788),76	G(-3690,6440),N(-3773,6446)	RS(935,2382)
シーツ補正X 無視lidar(3836,1788),76	G(-3690,6440),N(-3769,6445)	RS(935,2382)
シーツ補正X 無視lidar(3802,1788),42	G(-3690,6440),N(-3760,6442)	RS(926,2385)
シーツ補正X 無視lidar(3802,1788),42	G(-3690,6440),N(-3754,6440)	RS(914,2376)
シーツ補正X 無視lidar(3785,1789),25	G(-3690,6440),N(-3748,6439)	RS(914,2376)
シーツ補正X lidar(3785,1789),25	G(-3717,6440),N(-3742,6438)	RS(909,2384)
シーツ補正X lidar(3764,1797),4	G(-3725,6440),N(-3729,6437)	RS(909,2384)
シーツ補正X lidar(3764,1797),4	G(-3719,6440),N(-3723,6437)	RS(899,2387)
シーツ補正X lidar(3764,1797),4	G(-3714,6440),N(-3718,6437)	RS(895,2404)
シーツ補正X lidar(3747,1798),-13	G(-3725,6440),N(-3712,6437)	RS(895,2404)
シーツ補正X 無視lidar(3747,1798),-13	G(-3690,6440),N(-3706,6438)	RS(882,2394)
シーツ補正X 無視lidar(3714,1800),-46	G(-3690,6440),N(-3705,6438)	RS(877,2397)
シーツ補正X 無視lidar(3714,1800),-46	G(-3690,6440),N(-3706,6439)	RS(877,2397)
シーツ補正X 無視lidar(3710,1799),-50	G(-3690,6440),N(-3706,6439)	RS(870,2395)
シーツ補正X lidar(3710,1799),-50	G(-3757,6440),N(-3707,6439)	RS(867,2397)
シーツ補正X lidar(3701,1789),-59	G(-3766,6440),N(-3707,6440)	RS(867,2397)
シーツ補正X lidar(3701,1789),-59	G(-3766,6440),N(-3707,6440)	RS(868,2407)
シーツ補正X lidar(3701,1789),-59	G(-3767,6440),N(-3708,6440)	RS(868,2407)
シーツ補正X lidar(3713,1795),-47	G(-3755,6440),N(-3708,6440)	RS(867,2409)
シーツ補正X lidar(3713,1795),-47	G(-3756,6440),N(-3709,6440)	RS(863,2402)
シーツ補正X lidar(3713,1797),-47	G(-3756,6440),N(-3709,6440)	RS(863,2402)
シーツ補正X lidar(3713,1797),-47	G(-3759,6440),N(-3712,6440)	RS(865,2407)
シーツ補正X lidar(3716,1795),-44	G(-3758,6440),N(-3714,6440)	RS(867,2412)
シーツ補正X lidar(3716,1795),-44	G(-3762,6440),N(-3718,6441)	RS(867,2412)
シーツ補正X lidar(3742,1795),-18	G(-3744,6440),N(-3726,6441)	RS(865,2406)
シーツ補正X 無視lidar(3742,1795),-18	G(-3690,6440),N(-3730,6441)	RS(867,2408)
シーツ補正X 無視lidar(3742,1795),-18	G(-3690,6440),N(-3734,6441)	RS(867,2408)
シーツ補正X 無視lidar(3765,1802),5	G(-3690,6440),N(-3739,6441)	RS(866,2398)
シーツ補正X 無視lidar(3765,1802),5	G(-3690,6440),N(-3745,6442)	RS(869,2401)
シーツ補正X 無視lidar(3766,1802),6	G(-3690,6440),N(-3746,6442)	RS(869,2401)
シーツ補正X 無視lidar(3766,1802),6	G(-3690,6440),N(-3747,6442)	RS(871,2397)
シーツ補正X 無視lidar(3781,1799),21	G(-3690,6440),N(-3747,6442)	RS(871,2397)
シーツ補正X 無視lidar(3781,1799),21	G(-3690,6440),N(-3745,6442)	RS(870,2390)
シーツ補正X 無視lidar(3788,1803),28	G(-3690,6440),N(-3744,6442)	RS(877,2402)
シーツ補正X 無視lidar(3788,1803),28	G(-3690,6440),N(-3742,6442)	RS(877,2402)
シーツ補正X 無視lidar(3788,1803),28	G(-3690,6440),N(-3740,6442)	RS(879,2404)
シーツ補正X lidar(3799,1800),39	G(-3695,6440),N(-3734,6441)	RS(881,2407)
シーツ補正X lidar(3799,1800),39	G(-3692,6440),N(-3731,6441)	RS(881,2407)
シーツ補正X lidar(3800,1801),40	G(-3689,6440),N(-3729,6441)	RS(878,2406)
シーツ補正X lidar(3800,1801),40	G(-3683,6440),N(-3723,6441)	RS(877,2399)
シーツ補正X lidar(3788,1801),28	G(-3693,6440),N(-3721,6441)	RS(877,2399)
シーツ補正X lidar(3788,1801),28	G(-3691,6440),N(-3719,6441)	RS(874,2396)
シーツ補正X lidar(3755,1800),-5	G(-3722,6440),N(-3717,6441)	RS(871,2392)
シーツ補正X lidar(3755,1800),-5	G(-3720,6440),N(-3715,6442)	RS(871,2392)
シーツ補正X lidar(3755,1800),-5	G(-3719,6440),N(-3714,6442)	RS(862,2387)
シーツ補正X RS_X:866,-81 Y:2388	G(-3795,6440),N(-3713,6442)	lidar(3750,1804)
シーツ補正X RS_X:866,-81 Y:2388	G(-3795,6440),N(-3713,6442)	lidar(3750,1804)
シーツ補正X RS_X:863,-123 Y:2400	G(-3835,6440),N(-3710,6442)	lidar(3722,1804)
シーツ補正X RS_X:863,-123 Y:2400	G(-3835,6440),N(-3710,6442)	lidar(3722,1804)
シーツ補正X RS_X:859,-127 Y:2397	G(-3837,6440),N(-3710,6442)	lidar(3723,1802)
シーツ補正X RS_X:860,-126 Y:2399	G(-3837,6440),N(-3710,6442)	lidar(3723,1802)
シーツ補正X RS_X:860,-126 Y:2399	G(-3837,6440),N(-3710,6442)	lidar(3729,1801)
シーツ補正X RS_X:861,-125 Y:2401	G(-3835,6440),N(-3711,6442)	lidar(3729,1801)
シーツ補正X RS_X:858,-127 Y:2400	G(-3839,6440),N(-3711,6442)	lidar(3729,1801)
シーツ補正X RS_X:858,-127 Y:2400	G(-3839,6440),N(-3712,6442)	lidar(3733,1802)
シーツ補正X RS_X:857,-128 Y:2398	G(-3840,6440),N(-3712,6442)	lidar(3733,1802)
シーツ補正X lidar(3734,1806),-26	G(-3738,6440),N(-3712,6441)	RS(-50000,-50000)
シーツ補正Y lidar(3734,1806),386	G(-3738,6827),N(-3712,6441)	RS(-50000,-50000)
シーツ補正X lidar(3734,1806),-26	G(-3738,6827),N(-3712,6441)	RS(-50000,-50000)
シーツ補正Y lidar(3734,1806),386	G(-3738,6827),N(-3712,6441)	RS(-50000,-50000)
シーツ補正X RS_X:858,-127 Y:2394	G(-3840,6827),N(-3712,6441)	lidar(3750,1808)
シーツ補正X RS_X:858,-127 Y:2394	G(-3840,6827),N(-3713,6441)	lidar(3750,1808)
シーツ補正X RS_X:858,-127 Y:2394	G(-3840,6827),N(-3713,6440)	lidar(3741,1803)
シーツ補正X RS_X:860,-125 Y:2399	G(-3839,6827),N(-3713,6440)	lidar(3741,1803)
シーツ補正X RS_X:861,-125 Y:2399	G(-3838,6827),N(-3713,6440)	lidar(3741,1803)
シーツ補正X RS_X:861,-125 Y:2399	G(-3838,6827),N(-3713,6440)	lidar(3734,1799)
シーツ補正X RS_X:862,-124 Y:2401	G(-3837,6827),N(-3713,6440)	lidar(3734,1799)
シーツ補正X RS_X:862,-124 Y:2400	G(-3838,6827),N(-3714,6440)	lidar(3735,1809)
シーツ補正X RS_X:862,-124 Y:2400	G(-3838,6827),N(-3715,6441)	lidar(3735,1809)
シーツ補正X RS_X:861,-125 Y:2397	G(-3841,6827),N(-3716,6441)	lidar(3732,1808)
シーツ補正X RS_X:861,-125 Y:2397	G(-3841,6827),N(-3718,6442)	lidar(3732,1808)
シーツ補正X RS_X:864,-123 Y:2401	G(-3844,6827),N(-3724,6445)	lidar(3745,1802)
シーツ補正X RS_X:861,-124 Y:2402	G(-3853,6827),N(-3728,6446)	lidar(3745,1802)
シーツ補正X RS_X:861,-124 Y:2402	G(-3853,6827),N(-3733,6449)	lidar(3745,1802)
シーツ補正X RS_X:864,-122 Y:2400	G(-3862,6827),N(-3739,6451)	lidar(3745,1802)
シーツ補正X RS_X:864,-122 Y:2400	G(-3862,6827),N(-3750,6456)	lidar(3745,1802)
シーツ補正X RS_X:875,-113 Y:2402	G(-3864,6827),N(-3756,6459)	lidar(3769,1794)
シーツ補正X RS_X:882,-108 Y:2402	G(-3869,6827),N(-3761,6463)	lidar(3769,1794)
シーツ補正X RS_X:882,-108 Y:2402	G(-3869,6827),N(-3767,6466)	lidar(3794,1785)
シーツ補正X RS_X:891,-101 Y:2400	G(-3875,6827),N(-3781,6474)	lidar(3794,1785)
シーツ補正X RS_X:898,-95 Y:2392	G(-3884,6827),N(-3789,6479)	lidar(3795,1764)
シーツ補正X RS_X:898,-95 Y:2392	G(-3884,6827),N(-3797,6484)	lidar(3795,1764)
シーツ補正X RS_X:913,-83 Y:2387	G(-3888,6827),N(-3813,6494)	lidar(3795,1764)
シーツ補正X RS_X:927,-72 Y:2378	G(-3893,6827),N(-3821,6498)	lidar(3822,1756)
シーツ補正X RS_X:927,-72 Y:2378	G(-3893,6827),N(-3828,6504)	lidar(3822,1756)
シーツ補正X RS_X:940,-62 Y:2364	G(-3897,6827),N(-3835,6509)	lidar(3846,1735)
シーツ補正X RS_X:956,-49 Y:2360	G(-3891,6827),N(-3848,6520)	lidar(3846,1735)
シーツ補正Y lidar(3846,1735),315	G(-3891,6835),N(-3848,6520)	RS(956,2360)
シーツ補正X RS_X:956,-49 Y:2360	G(-3891,6835),N(-3854,6526)	lidar(3891,1722)
シーツ補正Y lidar(3891,1722),302	G(-3891,6828),N(-3854,6526)	RS(956,2360)
シーツ補正X RS_X:977,-32 Y:2364	G(-3893,6828),N(-3861,6532)	lidar(3891,1722)
シーツ補正Y lidar(3891,1722),302	G(-3893,6834),N(-3861,6532)	RS(977,2364)
シーツ補正X RS_X:977,-32 Y:2364	G(-3893,6834),N(-3868,6539)	lidar(3940,1701)
シーツ補正Y lidar(3940,1701),281	G(-3893,6820),N(-3868,6539)	RS(977,2364)
シーツ補正X RS_X:999,-14 Y:2366	G(-3889,6820),N(-3880,6552)	lidar(3940,1701)
シーツ補正Y lidar(3940,1701),281	G(-3889,6833),N(-3880,6552)	RS(999,2366)
シーツ補正X RS_X:1012,-4 Y:2358	G(-3885,6833),N(-3884,6556)	lidar(3940,1701)
