10月21日21時0分	赤 予選
10月21日21時0分	赤 予選
バスタオル1補正Y lidar(2633,2978),48	G(1866,5238),N(1833,5190)	RS(0,0)
バスタオル1補正X フェンス lidar(2712,2977),-148	G(1686,5238),N(1834,5191)	RS(0,0)	11
バスタオル1補正Y lidar(2712,2977),47	G(1686,5238),N(1834,5191)	RS(0,0)
バスタオル1補正X 無し lidar(2712,2977),-148	G(1686,5238),N(1836,5192)	RS(0,0)	11
バスタオル1補正Y lidar(2712,2977),47	G(1686,5239),N(1836,5192)	RS(0,0)
バスタオル1補正X 無し lidar(2712,2977),-148	G(1686,5239),N(1837,5193)	RS(0,0)	12
バスタオル1補正Y lidar(2712,2977),47	G(1686,5240),N(1837,5193)	RS(0,0)
バスタオル1補正X 無し lidar(2843,2979),-148	G(1686,5240),N(1838,5195)	RS(0,0)	12
バスタオル1補正Y lidar(2843,2979),49	G(1686,5244),N(1838,5195)	RS(0,0)
バスタオル1補正X 無し lidar(2843,2979),-148	G(1686,5244),N(1841,5197)	RS(0,0)	12
バスタオル1補正Y lidar(2843,2979),49	G(1686,5246),N(1841,5197)	RS(0,0)
バスタオル1補正X 無し lidar(2872,2969),-148	G(1686,5246),N(1844,5201)	RS(0,0)	12
バスタオル1補正Y lidar(2872,2969),39	G(1686,5240),N(1844,5201)	RS(0,0)
バスタオル1補正X 無し lidar(2872,2969),-148	G(1686,5240),N(1847,5203)	RS(0,0)	12
バスタオル1補正Y lidar(2872,2969),39	G(1686,5242),N(1847,5203)	RS(0,0)
バスタオル1補正X 無し lidar(2872,2969),-148	G(1686,5242),N(1850,5207)	RS(0,0)	12
バスタオル1補正Y lidar(2872,2969),39	G(1686,5246),N(1850,5207)	RS(0,0)
バスタオル1補正X 無し lidar(2874,2962),-148	G(1686,5246),N(1853,5211)	RS(0,0)	12
バスタオル1補正Y lidar(2874,2962),32	G(1686,5243),N(1853,5211)	RS(0,0)
バスタオル1補正X 無し lidar(2874,2962),-148	G(1686,5243),N(1854,5212)	RS(0,0)	12
バスタオル1補正Y lidar(2874,2962),32	G(1686,5244),N(1854,5212)	RS(0,0)
バスタオル1補正X 無し lidar(2871,2946),-148	G(1686,5244),N(1857,5215)	RS(0,0)	12
バスタオル1補正Y lidar(2871,2946),16	G(1686,5231),N(1857,5215)	RS(0,0)
バスタオル1補正X 無し lidar(2871,2946),-148	G(1686,5231),N(1858,5217)	RS(0,0)	12
バスタオル1補正Y lidar(2871,2946),16	G(1686,5233),N(1858,5217)	RS(0,0)
バスタオル1補正X 無し lidar(2864,2956),-148	G(1686,5233),N(1858,5217)	RS(0,0)	12
バスタオル1補正Y lidar(2864,2956),26	G(1686,5243),N(1858,5217)	RS(0,0)
バスタオル1補正X 無し lidar(2864,2956),-148	G(1686,5243),N(1857,5218)	RS(0,0)	12
バスタオル1補正Y lidar(2864,2956),26	G(1686,5244),N(1857,5218)	RS(0,0)
バスタオル1補正X 無し lidar(2864,2956),-148	G(1686,5244),N(1855,5219)	RS(0,0)	12
バスタオル1補正Y lidar(2864,2956),26	G(1686,5245),N(1855,5219)	RS(0,0)
バスタオル1補正X 無し lidar(2861,2948),-148	G(1686,5245),N(1852,5222)	RS(0,0)	12
バスタオル1補正Y lidar(2861,2948),18	G(1686,5240),N(1852,5222)	RS(0,0)
バスタオル1補正X 無し lidar(2861,2948),-148	G(1686,5240),N(1850,5219)	RS(0,0)	12
バスタオル1補正Y lidar(2861,2948),18	G(1686,5237),N(1850,5219)	RS(0,0)
バスタオル1補正X 無し lidar(2869,2948),-148	G(1686,5237),N(1844,5221)	RS(0,0)	12
