11月13日20時29分	赤 予選
11月13日20時29分	赤 予選
11月13日20時29分	青 予選
11月13日20時29分	青 予選
バスタオル1補正X 無し lidar(273,2953),-11	G(-1741,5276),N(-1741,5273,-0.232603)	RS(-864,3688)	10
バスタオル1補正Y lidar(273,2953),3	G(-1741,5276),N(-1741,5273,-0.232603)	RS(-864,3688)
バスタオル1補正X 無し lidar(273,2953),-11	G(-1741,5276),N(-1741,5273,-0.232603)	RS(-864,3692)	10
バスタオル1補正Y lidar(273,2953),3	G(-1741,5276),N(-1741,5273,-0.232603)	RS(-864,3692)
バスタオル1補正X 無し lidar(273,2953),-11	G(-1741,5276),N(-1741,5272,-0.232603)	RS(-864,3692)	10
バスタオル1補正Y lidar(273,2953),3	G(-1741,5275),N(-1741,5272,-0.232603)	RS(-864,3692)
バスタオル1 lidar(273,2953) RS_Y:3679,X:-861	now(-1741.435303,5272.829102,-0.232603)	10
バスタオル2補正前 lidar(282,2964) RS_Y:3656,X:-855	now(-1741.124878,5272.516113,-0.240210)	11
バスタオル2移動始め lidar(282,2964) goal(-1741,5700,0.000000) now(-1741,5272,-0.240210)
バスタオル2補正X 無し lidar(282,2964),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-855,3656)	11
バスタオル2下がり待ち lidar(282,2964),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-855,3656)
バスタオル2下がり待ち lidar(282,2964),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-854,3652)
バスタオル2下がり待ち lidar(282,2964),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-854,3650)
バスタオル2下がり待ち lidar(537,2966),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-854,3650)
バスタオル2下がり待ち lidar(537,2966),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-854,3653)
バスタオル2下がり待ち lidar(537,2966),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-854,3653)
バスタオル2下がり待ち lidar(537,2966),-11	G(-1741,5700),N(-1741,5272,-0.240210)	RS(-855,3655)
