11月18日20時25分	赤 決勝
バスタオル1補正Y lidar(1647,2905),-45	G(2174,5097),N(2164,5142,-0.254084)	RS(0,0)
バスタオル1補正X 無し lidar(1647,2905),182	G(2174,5097),N(2166,5138,-0.210560)	RS(0,0)	9
バスタオル1補正Y lidar(1647,2905),-45	G(2174,5093),N(2166,5138,-0.210560)	RS(0,0)
バスタオル1補正X 無し lidar(1637,2921),182	G(2174,5093),N(2172,5132,-0.221939)	RS(0,0)	9
バスタオル1補正Y lidar(1637,2921),-29	G(2174,5103),N(2172,5132,-0.221939)	RS(0,0)
バスタオル1補正X 無し lidar(1637,2921),182	G(2174,5103),N(2174,5130,-0.232829)	RS(0,0)	9
バスタオル1補正Y lidar(1637,2921),-29	G(2174,5101),N(2174,5130,-0.232829)	RS(0,0)
バスタオル1補正X 無し lidar(1634,2936),182	G(2174,5101),N(2176,5129,-0.233567)	RS(0,0)	9
バスタオル1補正Y lidar(1634,2936),-14	G(2174,5115),N(2176,5129,-0.233567)	RS(0,0)
バスタオル1補正X 無し lidar(1634,2936),182	G(2174,5115),N(2177,5127,-0.233567)	RS(0,0)	9
バスタオル1補正Y lidar(1634,2936),-14	G(2174,5113),N(2177,5127,-0.233567)	RS(0,0)
バスタオル1補正X 無し lidar(1634,2936),182	G(2174,5113),N(2178,5127,-0.233567)	RS(0,0)	9
バスタオル1補正Y lidar(1634,2936),-14	G(2174,5113),N(2178,5127,-0.233567)	RS(0,0)
バスタオル1補正X 無し lidar(1630,2955),182	G(2174,5113),N(2178,5127,-0.234276)	RS(0,0)	9
バスタオル1補正Y lidar(1630,2955),5	G(2174,5132),N(2178,5127,-0.234276)	RS(0,0)
バスタオル1補正X 無し lidar(1630,2955),182	G(2174,5132),N(2177,5127,-0.234276)	RS(0,0)	9
バスタオル1補正Y lidar(1630,2955),5	G(2174,5132),N(2177,5127,-0.234276)	RS(0,0)
バスタオル1補正X 無し lidar(1634,2959),182	G(2174,5132),N(2177,5127,-0.234276)	RS(0,0)	9
バスタオル1補正Y lidar(1634,2959),9	G(2174,5136),N(2177,5127,-0.234276)	RS(0,0)
バスタオル1補正X 無し lidar(1634,2959),182	G(2174,5136),N(2177,5128,-0.234276)	RS(0,0)	9
バスタオル1補正Y lidar(1634,2959),9	G(2174,5137),N(2177,5128,-0.234276)	RS(0,0)
バスタオル1補正X 無し lidar(1636,2949),182	G(2174,5137),N(2177,5128,-0.234276)	RS(0,0)	9
バスタオル1補正Y lidar(1636,2949),-1	G(2174,5127),N(2177,5128,-0.234276)	RS(0,0)
バスタオル1 lidar(1636,2949) RS_Y:0,X:0	now(2177.812500,5128.618164,-0.234276)	9
バスタオル2補正前 lidar(1628,2934) RS_Y:0,X:0	now(2177.501953,5128.931152,-0.227439)	10
バスタオル2移動始め lidar(1628,2934) goal(2177,5700,0.000000) now(2177,5128,-0.227439)
バスタオル2補正X 無し lidar(1628,2934),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)	10
バスタオル2下がり待ち lidar(1628,2934),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1628,2934),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1627,2935),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1627,2935),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1638,2935),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1638,2935),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1637,2947),182	G(2177,5700),N(2177,5128,-0.227439)	RS(0,0)
バスタオル2下がり待ち lidar(1637,2947),182	G(2177,5700),N(2177,5129,-0.139523)	RS(0,0)
バスタオル2下がり待ち lidar(1637,2949),182	G(2177,5700),N(2177,5131,-0.049945)	RS(0,0)
