11月11日20時24分	青 決勝
11月11日20時24分	青 決勝
CS通信切れ
バスタオル1補正X 無し lidar(2175,2846),-5	G(-2059,5233),N(-2062,5334,-0.194674)	RS(0,0)	8
バスタオル1補正Y lidar(2175,2846),-104	G(-2059,5230),N(-2062,5334,-0.194674)	RS(0,0)
バスタオル1補正X 無し lidar(2175,2846),-5	G(-2059,5230),N(-2064,5332,-0.213874)	RS(0,0)	8
バスタオル1補正Y lidar(2175,2846),-104	G(-2059,5228),N(-2064,5332,-0.213874)	RS(0,0)
バスタオル1補正X 無し lidar(2174,2848),-5	G(-2059,5228),N(-2068,5328,-0.220868)	RS(0,0)	8
バスタオル1補正Y lidar(2174,2848),-102	G(-2059,5226),N(-2068,5328,-0.220868)	RS(0,0)
バスタオル1補正X 無し lidar(2174,2848),-5	G(-2059,5226),N(-2076,5319,-0.205200)	RS(0,0)	8
バスタオル1補正Y lidar(2174,2848),-102	G(-2059,5217),N(-2076,5319,-0.205200)	RS(0,0)
バスタオル1補正X 無し lidar(2174,2848),-5	G(-2059,5217),N(-2080,5313,-0.174441)	RS(0,0)	8
バスタオル1補正Y lidar(2174,2848),-102	G(-2059,5211),N(-2080,5313,-0.174441)	RS(0,0)
バスタオル1補正X 無し lidar(2188,2858),-5	G(-2059,5211),N(-2083,5307,-0.112364)	RS(0,0)	8
バスタオル1補正Y lidar(2188,2858),-92	G(-2059,5215),N(-2083,5307,-0.112364)	RS(0,0)
バスタオル1補正X 無し lidar(2188,2858),-5	G(-2059,5215),N(-2086,5292,-0.104516)	RS(0,0)	8
バスタオル1補正Y lidar(2188,2858),-92	G(-2059,5200),N(-2086,5292,-0.104516)	RS(0,0)
バスタオル1補正X 無し lidar(2196,2878),-5	G(-2059,5200),N(-2087,5284,-0.125405)	RS(0,0)	8
バスタオル1補正Y lidar(2196,2878),-72	G(-2059,5212),N(-2087,5284,-0.125405)	RS(0,0)
バスタオル1補正X 無し lidar(2196,2878),-5	G(-2059,5212),N(-2086,5276,-0.156797)	RS(0,0)	8
バスタオル1補正Y lidar(2196,2878),-72	G(-2059,5204),N(-2086,5276,-0.156797)	RS(0,0)
バスタオル1補正X 無し lidar(1640,2901),-5	G(-2059,5204),N(-2086,5267,-0.182059)	RS(0,0)	8
バスタオル1補正Y lidar(1640,2901),-49	G(-2059,5218),N(-2086,5267,-0.182059)	RS(0,0)
バスタオル1補正X 無し lidar(1640,2901),-5	G(-2059,5218),N(-2082,5251,-0.188448)	RS(0,0)	9
