11月6日21時27分	青 決勝
CS通信切れ
シーツ補正X lidar(3824,1850),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1851),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1851),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1852),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1852),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1852),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3835,1847),5	G(-3778,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3835,1847),5	G(-3778,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3827,1859),-3	G(-3786,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3827,1859),-3	G(-3786,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3827,1845),-3	G(-3786,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3827,1845),-3	G(-3786,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1845),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1845),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3829,1845),-1	G(-3784,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3832,1850),2	G(-3781,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3832,1850),2	G(-3781,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1854),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3824,1854),-6	G(-3789,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3826,1850),-4	G(-3787,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3826,1850),-4	G(-3787,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3833,1846),3	G(-3780,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3833,1846),3	G(-3780,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3833,1846),3	G(-3780,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3826,1851),-4	G(-3787,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3826,1851),-4	G(-3787,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3817,1847),-13	G(-3796,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3817,1847),-13	G(-3796,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3820,1841),-10	G(-3793,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3820,1841),-10	G(-3793,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3816,1839),-14	G(-3797,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3816,1839),-14	G(-3797,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3816,1839),-14	G(-3797,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1838),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3822,1838),-8	G(-3791,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3818,1838),-12	G(-3795,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3818,1838),-12	G(-3795,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3819,1841),-11	G(-3794,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3819,1841),-11	G(-3794,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3810,1840),-20	G(-3803,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3810,1840),-20	G(-3803,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3810,1840),-20	G(-3803,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3819,1839),-11	G(-3794,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3819,1839),-11	G(-3794,6340),N(-3783,6335)	RS(0,0)
シーツ補正X lidar(3817,1839),-13	G(-3796,6340),N(-3783,6335)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1839,409
シーツ補正X lidar(3817,1839),-13	G(-3796,6740),N(-3783,6335)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1839,409
シーツ補正X lidar(3812,1837),-18	G(-3801,6740),N(-3783,6334)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1837,407
シーツ補正X lidar(3812,1837),-18	G(-3801,6740),N(-3783,6334)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1837,407
シーツ補正X lidar(3814,1838),-16	G(-3799,6740),N(-3783,6335)	RS(0,0)
