10月21日20時37分	赤 予選
10月21日20時37分	赤 予選
シーツ補正X lidar(3029,1710),-1	G(1881,6340),N(1882,6351)	RS(965,2404)
シーツ補正X lidar(3035,1705),5	G(1887,6340),N(1882,6351)	RS(965,2404)
シーツ補正X lidar(3035,1705),5	G(1887,6340),N(1882,6351)	RS(965,2404)
シーツ補正X lidar(3038,1716),8	G(1890,6340),N(1882,6351)	RS(965,2406)
シーツ補正X lidar(3038,1716),8	G(1890,6340),N(1882,6351)	RS(965,2406)
シーツ補正X lidar(3038,1716),8	G(1890,6340),N(1882,6351)	RS(965,2403)
シーツ補正X lidar(3033,1721),3	G(1885,6340),N(1882,6351)	RS(965,2403)
シーツ補正X lidar(3033,1721),3	G(1885,6340),N(1882,6351)	RS(962,2397)
シーツ補正X lidar(3039,1723),9	G(1891,6340),N(1882,6351)	RS(961,2395)
シーツ補正X lidar(3039,1723),9	G(1891,6340),N(1882,6351)	RS(961,2395)
シーツ補正X lidar(3039,1723),9	G(1891,6340),N(1882,6351)	RS(962,2396)
シーツ補正X lidar(3036,1726),6	G(1888,6340),N(1882,6351)	RS(959,2390)
シーツ補正X lidar(3036,1726),6	G(1889,6340),N(1883,6351)	RS(959,2390)
シーツ補正X lidar(3036,1721),6	G(1889,6340),N(1883,6351)	RS(960,2393)
シーツ補正X lidar(3036,1721),6	G(1889,6340),N(1883,6351)	RS(961,2395)
シーツ補正X lidar(3036,1721),6	G(1889,6340),N(1883,6351)	RS(961,2395)
シーツ補正X lidar(3047,1720),17	G(1900,6340),N(1883,6351)	RS(960,2393)
シーツ補正X lidar(3047,1720),17	G(1900,6340),N(1883,6351)	RS(960,2393)
シーツ補正X lidar(3035,1718),5	G(1888,6340),N(1883,6351)	RS(961,2393)
シーツ補正X lidar(3035,1718),5	G(1888,6340),N(1883,6351)	RS(961,2394)
シーツ補正X lidar(3035,1718),5	G(1888,6340),N(1883,6351)	RS(961,2394)
シーツ補正X lidar(3033,1722),3	G(1886,6340),N(1883,6351)	RS(961,2394)
シーツ補正X lidar(3033,1722),3	G(1886,6340),N(1883,6351)	RS(961,2394)
シーツ補正X lidar(3034,1721),4	G(1887,6340),N(1883,6351)	RS(961,2395)
シーツ補正X lidar(3034,1721),4	G(1887,6340),N(1883,6351)	RS(963,2399)
シーツ補正X lidar(3034,1721),4	G(1887,6340),N(1883,6351)	RS(963,2399)
シーツ補正X lidar(3049,1712),19	G(1902,6340),N(1883,6351)	RS(961,2395)
シーツ補正X lidar(3049,1712),19	G(1902,6340),N(1883,6351)	RS(960,2391)
シーツ補正X lidar(3038,1720),8	G(1891,6340),N(1883,6351)	RS(960,2391)
シーツ補正X lidar(3038,1720),8	G(1891,6340),N(1883,6351)	RS(960,2391)
シーツ補正X lidar(3038,1720),8	G(1891,6340),N(1883,6351)	RS(960,2391)
シーツ補正X lidar(3033,1723),3	G(1887,6340),N(1884,6351)	RS(960,2391)
