11月5日20時47分	赤 決勝
シーツ補正X lidar(3070,1857),10	G(1794,6340),N(1784,6334)	RS(0,0)
シーツ補正X lidar(3066,1857),6	G(1790,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3066,1857),6	G(1790,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3066,1857),6	G(1790,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3065,1853),5	G(1789,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3065,1853),5	G(1789,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3066,1854),6	G(1790,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3066,1854),6	G(1790,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1849),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1849),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1851),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1851),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1851),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3052,1853),-8	G(1776,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3052,1853),-8	G(1776,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1844),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3054,1844),-6	G(1778,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3053,1845),-7	G(1777,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3053,1845),-7	G(1777,6340),N(1784,6333)	RS(0,0)
シーツ補正X lidar(3053,1850),-7	G(1778,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3053,1850),-7	G(1778,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3053,1850),-7	G(1778,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3054,1853),-6	G(1779,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3054,1853),-6	G(1779,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3058,1854),-2	G(1783,6340),N(1785,6333)	RS(0,0)
シーツ補正X lidar(3058,1854),-2	G(1783,6340),N(1785,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1854,414
シーツ補正X lidar(3054,1854),-6	G(1779,6740),N(1785,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1854,414
シーツ補正X lidar(3054,1854),-6	G(1779,6740),N(1785,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1854,414
シーツ補正X lidar(3058,1853),-2	G(1782,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1853,413
シーツ補正X lidar(3058,1853),-2	G(1782,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1853,413
シーツ補正X lidar(3058,1853),-2	G(1782,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1853,413
