11月3日20時16分	赤 予選
11月3日20時16分	赤 予選
バスタオル1補正X フェンス lidar(2883,2839),18	G(1926,5340),N(1908,5342,0.090683)	RS(749,3477)	10
バスタオル1補正X フェンス lidar(2883,2839),18	G(1926,5340),N(1908,5342,0.090683)	RS(749,3475)	10
バスタオル1補正X フェンス lidar(2876,2835),11	G(1919,5340),N(1908,5342,0.090683)	RS(749,3475)	10
バスタオル1補正X フェンス lidar(2876,2835),11	G(1919,5340),N(1908,5342,0.090683)	RS(747,3468)	10
バスタオル1補正X フェンス lidar(2883,2830),18	G(1926,5340),N(1908,5342,0.090683)	RS(748,3469)	10
バスタオル1補正X フェンス lidar(2883,2830),18	G(1926,5340),N(1908,5342,0.085691)	RS(748,3469)	10
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5342,0.084942)	RS(749,3477)	10
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5342,0.084942)	RS(749,3473)	10
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5342,0.084942)	RS(749,3473)	11
バスタオル1補正X フェンス lidar(2868,2836),3	G(1912,5340),N(1909,5341,0.058517)	RS(745,3457)	11
バスタオル1補正X フェンス lidar(2868,2836),3	G(1912,5340),N(1909,5341,0.058517)	RS(751,3482)	11
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5341,0.058517)	RS(751,3482)	11
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5341,0.058517)	RS(745,3459)	11
バスタオル1補正X フェンス lidar(2871,2843),6	G(1915,5340),N(1909,5341,0.058517)	RS(747,3468)	11
バスタオル1補正X フェンス lidar(2871,2843),6	G(1915,5340),N(1909,5341,0.058517)	RS(747,3468)	11
バスタオル1補正X フェンス lidar(2868,2845),3	G(1912,5340),N(1909,5341,0.058517)	RS(749,3475)	11
バスタオル1補正X フェンス lidar(2868,2845),3	G(1912,5340),N(1909,5341,0.058517)	RS(750,3480)	11
バスタオル1補正X フェンス lidar(2868,2845),3	G(1912,5340),N(1909,5341,0.058517)	RS(750,3480)	11
バスタオル1補正X フェンス lidar(2869,2843),4	G(1913,5340),N(1909,5341,0.058517)	RS(750,3478)	11
バスタオル1補正X フェンス lidar(2869,2843),4	G(1913,5340),N(1909,5341,0.058517)	RS(749,3473)	11
バスタオル1補正X フェンス lidar(2867,2834),2	G(1911,5340),N(1909,5341,0.058517)	RS(749,3473)	11
バスタオル1補正X フェンス lidar(2867,2834),2	G(1911,5340),N(1909,5341,0.058517)	RS(750,3479)	11
バスタオル1補正X フェンス lidar(2871,2834),6	G(1915,5340),N(1909,5341,0.058517)	RS(748,3472)	11
