10月18日21時49分	青 予選
シーツ補正X lidar(3893,1740),43	G(-3795,6740),N(-3838,6483)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1740,390
シーツ補正X lidar(3893,1740),43	G(-3797,6740),N(-3840,6494)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1740,390
シーツ補正X lidar(3879,1718),29	G(-3811,6740),N(-3840,6499)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1718,368
シーツ補正X lidar(3879,1718),29	G(-3812,6740),N(-3841,6510)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1718,368
シーツ補正X lidar(3879,1718),29	G(-3813,6740),N(-3842,6522)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1718,368
シーツ補正X lidar(3889,1693),39	G(-3803,6740),N(-3842,6533)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1693,343
シーツ補正X lidar(3889,1693),39	G(-3803,6740),N(-3842,6544)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1693,343
シーツ補正X lidar(3906,1668),56	G(-3785,6740),N(-3841,6556)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1668,318
シーツ補正X lidar(3906,1668),56	G(-3784,6740),N(-3840,6568)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1668,318
シーツ補正X lidar(3906,1668),56	G(-3783,6740),N(-3839,6575)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1668,318
シーツ補正X lidar(3911,1637),61	G(-3776,6740),N(-3837,6586)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1637,287
シーツ補正X lidar(3911,1637),11	G(-3824,6740),N(-3835,6599)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1637,287
シーツ補正X lidar(3922,1608),22	G(-3810,6740),N(-3832,6611)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1608,258
シーツ補正X lidar(3922,1608),22	G(-3806,6740),N(-3828,6623)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1608,258
シーツ補正X lidar(3922,1608),22	G(-3803,6740),N(-3825,6636)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1608,258
シーツ補正X lidar(3905,1583),5	G(-3818,6740),N(-3823,6648)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1583,233
シーツ補正X lidar(3905,1583),5	G(-3816,6740),N(-3821,6655)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1583,233
シーツ補正X lidar(3915,1553),15	G(-3803,6740),N(-3818,6667)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1553,203
シーツ補正X lidar(3915,1553),15	G(-3801,6740),N(-3816,6679)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1553,203
シーツ補正X lidar(3915,1553),15	G(-3799,6740),N(-3814,6690)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1553,203
シーツ補正X lidar(3890,1524),-10	G(-3823,6740),N(-3813,6701)	RS(0,0)
シーツ補正Y lidar(3890,1524),174	G(-3823,6875),N(-3813,6701)	RS(0,0)
シーツ補正X lidar(3890,1524),40	G(-3772,6875),N(-3812,6711)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1524,174
シーツ補正X lidar(3891,1499),-9	G(-3821,6740),N(-3812,6720)	RS(0,0)
シーツ補正Y lidar(3891,1499),149	G(-3821,6869),N(-3812,6720)	RS(0,0)
シーツ補正X lidar(3891,1499),-9	G(-3821,6869),N(-3812,6728)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1499,149
シーツ補正X lidar(3891,1499),-9	G(-3821,6740),N(-3812,6732)	RS(0,0)
シーツ補正Y lidar(3891,1499),149	G(-3821,6881),N(-3812,6732)	RS(0,0)
シーツ補正X lidar(3909,1476),9	G(-3802,6881),N(-3811,6738)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1476,126
シーツ補正X lidar(3909,1476),9	G(-3801,6740),N(-3810,6742)	RS(0,0)
シーツ補正Y lidar(3909,1476),126	G(-3801,6868),N(-3810,6742)	RS(0,0)
シーツ補正X lidar(3895,1458),-5	G(-3815,6868),N(-3810,6744)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1458,108
シーツ補正X lidar(3895,1458),-5	G(-3815,6740),N(-3810,6744)	RS(0,0)
シーツ補正Y lidar(3895,1458),108	G(-3815,6852),N(-3810,6744)	RS(0,0)
シーツ補正X lidar(3895,1458),-5	G(-3815,6852),N(-3810,6745)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1458,108
シーツ補正X lidar(3921,1455),21	G(-3789,6740),N(-3810,6745)	RS(0,0)
シーツ補正Y lidar(3921,1455),105	G(-3789,6850),N(-3810,6745)	RS(0,0)
シーツ補正X lidar(3921,1455),21	G(-3789,6850),N(-3810,6745)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1455,105
シーツ補正X lidar(3896,1451),-4	G(-3814,6740),N(-3810,6745)	RS(0,0)
シーツ補正Y lidar(3896,1451),101	G(-3814,6846),N(-3810,6745)	RS(0,0)
シーツ補正X lidar(3896,1451),-4	G(-3814,6846),N(-3810,6745)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3896,1451),-4	G(-3814,6740),N(-3810,6744)	RS(0,0)
シーツ補正Y lidar(3896,1451),101	G(-3814,6845),N(-3810,6744)	RS(0,0)
シーツ補正X lidar(3918,1447),18	G(-3792,6845),N(-3810,6743)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1447,97
シーツ補正X lidar(3918,1447),18	G(-3792,6740),N(-3810,6743)	RS(0,0)
シーツ補正Y lidar(3918,1447),97	G(-3792,6840),N(-3810,6743)	RS(0,0)
シーツ補正X lidar(3909,1444),9	G(-3802,6840),N(-3811,6744)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1444,94
シーツ補正X lidar(3909,1444),9	G(-3802,6740),N(-3811,6744)	RS(0,0)
シーツ補正Y lidar(3909,1444),94	G(-3802,6838),N(-3811,6744)	RS(0,0)
シーツ補正X lidar(3909,1444),9	G(-3802,6838),N(-3811,6744)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1444,94
シーツ補正X lidar(3917,1447),17	G(-3794,6740),N(-3811,6744)	RS(0,0)
シーツ補正Y lidar(3917,1447),97	G(-3794,6841),N(-3811,6744)	RS(0,0)
シーツ補正X lidar(3917,1447),17	G(-3794,6841),N(-3811,6744)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1447,97
シーツ補正X lidar(3920,1443),20	G(-3791,6740),N(-3811,6744)	RS(0,0)
シーツ補正Y lidar(3920,1443),93	G(-3791,6837),N(-3811,6744)	RS(0,0)
シーツ補正X lidar(3920,1443),20	G(-3791,6837),N(-3811,6743)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1443,93
シーツ補正X lidar(3920,1443),20	G(-3792,6740),N(-3812,6743)	RS(0,0)
シーツ補正Y lidar(3920,1443),93	G(-3792,6836),N(-3812,6743)	RS(0,0)
シーツ補正X lidar(3922,1444),22	G(-3791,6836),N(-3813,6742)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1444,94
シーツ補正X lidar(3922,1444),22	G(-3791,6740),N(-3813,6742)	RS(0,0)
シーツ補正Y lidar(3922,1444),94	G(-3791,6836),N(-3813,6742)	RS(0,0)
シーツ補正X lidar(3916,1453),16	G(-3797,6836),N(-3813,6741)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3916,1453),16	G(-3797,6740),N(-3813,6741)	RS(0,0)
シーツ補正Y lidar(3916,1453),103	G(-3797,6844),N(-3813,6741)	RS(0,0)
シーツ補正X lidar(3916,1453),16	G(-3797,6844),N(-3813,6742)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3906,1451),6	G(-3807,6740),N(-3813,6742)	RS(0,0)
シーツ補正Y lidar(3906,1451),101	G(-3807,6843),N(-3813,6742)	RS(0,0)
シーツ補正X lidar(3906,1451),6	G(-3807,6843),N(-3813,6742)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3915,1452),15	G(-3798,6740),N(-3813,6742)	RS(0,0)
シーツ補正Y lidar(3915,1452),102	G(-3798,6844),N(-3813,6742)	RS(0,0)
シーツ補正X lidar(3915,1452),15	G(-3798,6844),N(-3813,6742)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1452,102
シーツ補正X lidar(3915,1452),15	G(-3798,6740),N(-3813,6742)	RS(0,0)
シーツ補正Y lidar(3915,1452),102	G(-3798,6844),N(-3813,6742)	RS(0,0)
シーツ補正X lidar(3901,1446),1	G(-3812,6844),N(-3813,6742)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3901,1446),1	G(-3812,6740),N(-3813,6742)	RS(0,0)
シーツ補正Y lidar(3901,1446),96	G(-3812,6838),N(-3813,6742)	RS(0,0)
シーツ補正X lidar(3909,1446),9	G(-3804,6838),N(-3813,6742)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3909,1446),9	G(-3803,6740),N(-3812,6742)	RS(0,0)
シーツ補正Y lidar(3909,1446),96	G(-3803,6838),N(-3812,6742)	RS(0,0)
シーツ補正X lidar(3909,1446),9	G(-3803,6838),N(-3812,6743)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3895,1445),-5	G(-3816,6740),N(-3811,6743)	RS(0,0)
シーツ補正Y lidar(3895,1445),95	G(-3816,6838),N(-3811,6743)	RS(0,0)
シーツ補正X lidar(3895,1445),-5	G(-3816,6838),N(-3811,6743)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1445,95
シーツ補正X lidar(3905,1448),5	G(-3806,6740),N(-3811,6745)	RS(0,0)
シーツ補正Y lidar(3905,1448),98	G(-3806,6843),N(-3811,6745)	RS(0,0)
シーツ補正X lidar(3905,1448),5	G(-3806,6843),N(-3811,6745)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1448,98
シーツ補正X lidar(3905,1448),5	G(-3807,6740),N(-3812,6746)	RS(0,0)
シーツ補正Y lidar(3905,1448),98	G(-3807,6844),N(-3812,6746)	RS(0,0)
シーツ補正X lidar(3906,1446),6	G(-3805,6844),N(-3811,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3906,1446),6	G(-3805,6740),N(-3811,6747)	RS(0,0)
シーツ補正Y lidar(3906,1446),96	G(-3805,6843),N(-3811,6747)	RS(0,0)
シーツ補正X lidar(3915,1448),15	G(-3796,6843),N(-3811,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1448,98
シーツ補正X lidar(3915,1448),15	G(-3795,6740),N(-3810,6748)	RS(0,0)
シーツ補正Y lidar(3915,1448),98	G(-3795,6846),N(-3810,6748)	RS(0,0)
シーツ補正X lidar(3915,1448),15	G(-3794,6846),N(-3809,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1448,98
シーツ補正X lidar(3913,1460),13	G(-3796,6740),N(-3809,6748)	RS(0,0)
シーツ補正Y lidar(3913,1460),110	G(-3796,6858),N(-3809,6748)	RS(0,0)
シーツ補正X lidar(3913,1460),13	G(-3796,6858),N(-3809,6746)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1460,110
シーツ補正X lidar(3917,1453),17	G(-3793,6740),N(-3810,6746)	RS(0,0)
シーツ補正Y lidar(3917,1453),103	G(-3793,6849),N(-3810,6746)	RS(0,0)
シーツ補正X lidar(3917,1453),17	G(-3791,6849),N(-3808,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3917,1453),17	G(-3790,6740),N(-3807,6747)	RS(0,0)
シーツ補正Y lidar(3917,1453),103	G(-3790,6850),N(-3807,6747)	RS(0,0)
シーツ補正X lidar(3920,1453),20	G(-3787,6850),N(-3807,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3920,1453),20	G(-3787,6740),N(-3807,6749)	RS(0,0)
シーツ補正Y lidar(3920,1453),103	G(-3787,6852),N(-3807,6749)	RS(0,0)
シーツ補正X lidar(3907,1450),7	G(-3800,6852),N(-3807,6748)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1450,100
シーツ補正X lidar(3907,1450),7	G(-3800,6740),N(-3807,6747)	RS(0,0)
シーツ補正Y lidar(3907,1450),100	G(-3800,6847),N(-3807,6747)	RS(0,0)
シーツ補正X lidar(3907,1450),7	G(-3800,6847),N(-3807,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1450,100
シーツ補正X lidar(3923,1449),23	G(-3784,6740),N(-3807,6746)	RS(0,0)
シーツ補正Y lidar(3923,1449),99	G(-3784,6845),N(-3807,6746)	RS(0,0)
シーツ補正X lidar(3923,1449),23	G(-3786,6845),N(-3809,6746)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1449,99
シーツ補正X lidar(3913,1437),13	G(-3795,6740),N(-3808,6746)	RS(0,0)
シーツ補正Y lidar(3913,1437),87	G(-3795,6833),N(-3808,6746)	RS(0,0)
シーツ補正X lidar(3913,1437),13	G(-3794,6833),N(-3807,6746)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1437,87
シーツ補正X lidar(3913,1437),13	G(-3794,6740),N(-3807,6747)	RS(0,0)
シーツ補正Y lidar(3913,1437),87	G(-3794,6834),N(-3807,6747)	RS(0,0)
シーツ補正X lidar(3888,1446),-12	G(-3817,6834),N(-3805,6747)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3888,1446),-12	G(-3817,6740),N(-3805,6749)	RS(0,0)
シーツ補正Y lidar(3888,1446),96	G(-3817,6845),N(-3805,6749)	RS(0,0)
シーツ補正X lidar(3900,1451),0	G(-3803,6845),N(-3803,6748)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3900,1451),0	G(-3803,6740),N(-3803,6748)	RS(0,0)
シーツ補正Y lidar(3900,1451),101	G(-3803,6849),N(-3803,6748)	RS(0,0)
シーツ補正X lidar(3900,1451),0	G(-3801,6849),N(-3801,6748)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3918,1445),18	G(-3782,6740),N(-3800,6749)	RS(0,0)
シーツ補正Y lidar(3918,1445),95	G(-3782,6844),N(-3800,6749)	RS(0,0)
シーツ補正X lidar(3918,1445),18	G(-3781,6844),N(-3799,6750)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1445,95
シーツ補正X lidar(3918,1455),18	G(-3781,6740),N(-3799,6749)	RS(0,0)
シーツ補正Y lidar(3918,1455),105	G(-3781,6854),N(-3799,6749)	RS(0,0)
シーツ補正X lidar(3918,1455),18	G(-3781,6854),N(-3799,6750)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1455,105
シーツ補正X lidar(3918,1455),18	G(-3780,6740),N(-3798,6750)	RS(0,0)
シーツ補正Y lidar(3918,1455),105	G(-3780,6855),N(-3798,6750)	RS(0,0)
シーツ補正X lidar(3902,1456),2	G(-3797,6855),N(-3799,6750)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1456,106
シーツ補正X lidar(3902,1456),2	G(-3797,6740),N(-3799,6750)	RS(0,0)
シーツ補正Y lidar(3902,1456),106	G(-3797,6856),N(-3799,6750)	RS(0,0)
シーツ補正X lidar(3899,1451),-1	G(-3801,6856),N(-3800,6750)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3899,1451),-1	G(-3802,6740),N(-3801,6750)	RS(0,0)
シーツ補正Y lidar(3899,1451),101	G(-3802,6851),N(-3801,6750)	RS(0,0)
シーツ補正X lidar(3899,1451),-1	G(-3804,6851),N(-3803,6750)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3881,1445),-19	G(-3822,6740),N(-3803,6750)	RS(0,0)
シーツ補正Y lidar(3881,1445),95	G(-3822,6845),N(-3803,6750)	RS(0,0)
シーツ補正X lidar(3881,1445),-19	G(-3822,6845),N(-3803,6750)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1445,95
シーツ補正X lidar(3885,1445),-15	G(-3819,6740),N(-3804,6749)	RS(0,0)
シーツ補正Y lidar(3885,1445),95	G(-3819,6844),N(-3804,6749)	RS(0,0)
シーツ補正X lidar(3885,1445),-15	G(-3819,6844),N(-3804,6751)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1445,95
シーツ補正X lidar(3885,1445),-15	G(-3818,6740),N(-3803,6753)	RS(0,0)
シーツ補正Y lidar(3885,1445),95	G(-3818,6848),N(-3803,6753)	RS(0,0)
シーツ補正X lidar(3903,1450),3	G(-3800,6848),N(-3803,6754)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1450,100
シーツ補正X lidar(3903,1450),3	G(-3800,6740),N(-3803,6760)	RS(0,0)
シーツ補正Y lidar(3903,1450),100	G(-3800,6860),N(-3803,6760)	RS(0,0)
シーツ補正X lidar(3902,1445),2	G(-3801,6860),N(-3803,6765)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1445,95
シーツ補正X lidar(3902,1445),2	G(-3801,6740),N(-3803,6767)	RS(0,0)
シーツ補正Y lidar(3902,1445),95	G(-3801,6862),N(-3803,6767)	RS(0,0)
シーツ補正X lidar(3902,1445),2	G(-3801,6862),N(-3803,6769)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1445,95
シーツ補正X lidar(3905,1436),5	G(-3798,6740),N(-3803,6773)	RS(0,0)
シーツ補正Y lidar(3905,1436),86	G(-3798,6859),N(-3803,6773)	RS(0,0)
シーツ補正X lidar(3905,1436),5	G(-3798,6859),N(-3803,6775)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1436,86
シーツ補正X lidar(3898,1449),-2	G(-3805,6740),N(-3803,6778)	RS(0,0)
シーツ補正Y lidar(3898,1449),99	G(-3805,6877),N(-3803,6778)	RS(0,0)
シーツ補正X lidar(3898,1449),-2	G(-3805,6877),N(-3803,6778)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1449,99
シーツ補正X lidar(3898,1449),-2	G(-3805,6740),N(-3803,6779)	RS(0,0)
シーツ補正Y lidar(3898,1449),99	G(-3805,6878),N(-3803,6779)	RS(0,0)
シーツ補正X lidar(3893,1453),-7	G(-3810,6878),N(-3803,6782)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3893,1453),-7	G(-3810,6740),N(-3803,6783)	RS(0,0)
シーツ補正Y lidar(3893,1453),103	G(-3810,6886),N(-3803,6783)	RS(0,0)
シーツ補正X lidar(3890,1457),-10	G(-3813,6886),N(-3803,6784)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1457,107
シーツ補正X lidar(3890,1457),-10	G(-3813,6740),N(-3803,6788)	RS(0,0)
シーツ補正Y lidar(3890,1457),107	G(-3813,6895),N(-3803,6788)	RS(0,0)
シーツ補正X lidar(3890,1457),-10	G(-3813,6895),N(-3803,6790)	RS(0,0)
シーツ補正Y 無し RS(0,0) G(-3813,6740),N(-3803,6790)	lidar(3890,1457)
シーツ補正X lidar(3903,1462),3	G(-3801,6740),N(-3804,6788)	RS(0,0)
シーツ補正Y lidar(3903,1462),112	G(-3801,6900),N(-3804,6788)	RS(0,0)
シーツ補正X lidar(3903,1462),3	G(-3800,6900),N(-3803,6788)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1462,112
シーツ補正X lidar(3895,1461),-5	G(-3808,6740),N(-3803,6787)	RS(0,0)
シーツ補正Y lidar(3895,1461),111	G(-3808,6898),N(-3803,6787)	RS(0,0)
シーツ補正X lidar(3895,1461),-5	G(-3808,6898),N(-3803,6787)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1461,111
シーツ補正X lidar(3895,1461),-5	G(-3808,6740),N(-3803,6785)	RS(0,0)
シーツ補正Y lidar(3895,1461),111	G(-3808,6896),N(-3803,6785)	RS(0,0)
シーツ補正X lidar(3882,1448),-18	G(-3821,6896),N(-3803,6784)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1448,98
シーツ補正X lidar(3882,1448),-18	G(-3821,6740),N(-3803,6784)	RS(0,0)
シーツ補正Y lidar(3882,1448),98	G(-3821,6882),N(-3803,6784)	RS(0,0)
シーツ補正X lidar(3879,1454),-21	G(-3824,6882),N(-3803,6783)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1454,104
シーツ補正X lidar(3879,1454),-21	G(-3824,6740),N(-3803,6782)	RS(0,0)
シーツ補正Y lidar(3879,1454),104	G(-3824,6886),N(-3803,6782)	RS(0,0)
シーツ補正X lidar(3879,1454),-21	G(-3824,6886),N(-3803,6783)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1454,104
シーツ補正X lidar(3890,1454),-10	G(-3813,6740),N(-3803,6783)	RS(0,0)
シーツ補正Y lidar(3890,1454),104	G(-3813,6887),N(-3803,6783)	RS(0,0)
シーツ補正X lidar(3890,1454),-10	G(-3813,6887),N(-3803,6779)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1454,104
シーツ補正X lidar(3893,1444),-7	G(-3811,6740),N(-3804,6779)	RS(0,0)
シーツ補正Y lidar(3893,1444),94	G(-3811,6873),N(-3804,6779)	RS(0,0)
シーツ補正X lidar(3893,1444),-7	G(-3811,6873),N(-3804,6778)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1444,94
シーツ補正X lidar(3893,1444),-7	G(-3811,6740),N(-3804,6780)	RS(0,0)
シーツ補正Y lidar(3893,1444),94	G(-3811,6874),N(-3804,6780)	RS(0,0)
シーツ補正X lidar(3899,1451),-1	G(-3805,6874),N(-3804,6780)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1451,101
シーツ補正X lidar(3899,1451),-1	G(-3804,6740),N(-3803,6780)	RS(0,0)
シーツ補正Y lidar(3899,1451),101	G(-3804,6881),N(-3803,6780)	RS(0,0)
シーツ補正X lidar(3907,1449),7	G(-3796,6881),N(-3803,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1449,99
シーツ補正X lidar(3907,1449),7	G(-3796,6740),N(-3803,6781)	RS(0,0)
シーツ補正Y lidar(3907,1449),99	G(-3796,6880),N(-3803,6781)	RS(0,0)
シーツ補正X lidar(3907,1449),7	G(-3796,6880),N(-3803,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1449,99
シーツ補正X lidar(3890,1453),-10	G(-3813,6740),N(-3803,6781)	RS(0,0)
シーツ補正Y lidar(3890,1453),103	G(-3813,6884),N(-3803,6781)	RS(0,0)
シーツ補正X lidar(3890,1453),-10	G(-3812,6884),N(-3802,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3905,1449),5	G(-3797,6740),N(-3802,6781)	RS(0,0)
シーツ補正Y lidar(3905,1449),99	G(-3797,6880),N(-3802,6781)	RS(0,0)
シーツ補正X lidar(3905,1449),5	G(-3797,6880),N(-3802,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1449,99
シーツ補正X lidar(3905,1449),5	G(-3797,6740),N(-3802,6781)	RS(0,0)
シーツ補正Y lidar(3905,1449),99	G(-3797,6880),N(-3802,6781)	RS(0,0)
シーツ補正X lidar(3903,1453),3	G(-3799,6880),N(-3802,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1453,103
シーツ補正X lidar(3903,1453),3	G(-3799,6740),N(-3802,6781)	RS(0,0)
シーツ補正Y lidar(3903,1453),103	G(-3799,6884),N(-3802,6781)	RS(0,0)
シーツ補正X lidar(3911,1446),11	G(-3790,6884),N(-3801,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3911,1446),11	G(-3790,6740),N(-3801,6781)	RS(0,0)
シーツ補正Y lidar(3911,1446),96	G(-3790,6877),N(-3801,6781)	RS(0,0)
シーツ補正X lidar(3911,1446),11	G(-3790,6877),N(-3801,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1446,96
シーツ補正X lidar(3889,1442),-11	G(-3812,6740),N(-3801,6781)	RS(0,0)
シーツ補正Y lidar(3889,1442),92	G(-3812,6873),N(-3801,6781)	RS(0,0)
シーツ補正X lidar(3889,1442),-11	G(-3811,6873),N(-3800,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1442,92
シーツ補正X lidar(3898,1437),-2	G(-3801,6740),N(-3799,6781)	RS(0,0)
シーツ補正Y lidar(3898,1437),87	G(-3801,6868),N(-3799,6781)	RS(0,0)
シーツ補正X lidar(3898,1437),-2	G(-3801,6868),N(-3799,6782)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1437,87
シーツ補正X lidar(3898,1437),-2	G(-3801,6740),N(-3799,6782)	RS(0,0)
シーツ補正Y lidar(3898,1437),87	G(-3801,6869),N(-3799,6782)	RS(0,0)
シーツ補正X lidar(3890,1441),-10	G(-3809,6869),N(-3799,6782)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1441,91
シーツ補正X lidar(3890,1441),-10	G(-3808,6740),N(-3798,6782)	RS(0,0)
シーツ補正Y lidar(3890,1441),91	G(-3808,6873),N(-3798,6782)	RS(0,0)
シーツ補正X lidar(3898,1443),-2	G(-3800,6873),N(-3798,6781)	RS(0,0)
シーツ　RS無視 RS_Y:0,0,0 X:0	lidar_y:1443,93
シーツ補正X lidar(3898,1443),-2	G(-3800,6740),N(-3798,6782)	RS(0,0)
シーツ補正Y lidar(3898,1443),93	G(-3800,6875),N(-3798,6782)	RS(0,0)
