11月14日21時33分	赤 予選
11月14日21時33分	赤 予選
11月14日21時34分	赤 予選
RS無視 RS_Y:0,50000,0 X:0	lidar(1712,2789),-161	G(3053,5240),N(3048,5339,-0.951012)
バスタオル2補正X 無し lidar(1712,2789),4	G(3053,5240),N(3048,5339,-0.875691)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1712,2789),-161	G(3053,5240),N(3048,5339,-0.875691)
バスタオル2補正X 無し lidar(1715,2787),4	G(3053,5240),N(3048,5338,-0.867458)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1715,2787),-163	G(3053,5240),N(3048,5338,-0.867458)
バスタオル2補正X 無し lidar(1715,2787),4	G(3053,5240),N(3048,5338,-0.860320)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1715,2787),-163	G(3053,5240),N(3048,5338,-0.860320)
バスタオル2補正X 無し lidar(1712,2788),4	G(3053,5240),N(3048,5338,-0.849948)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1712,2788),-162	G(3053,5240),N(3048,5338,-0.849948)
バスタオル2補正X 無し lidar(1712,2788),4	G(3053,5240),N(3048,5337,-0.830068)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1712,2788),-162	G(3053,5240),N(3048,5337,-0.830068)
バスタオル2補正X 無し lidar(1710,2799),4	G(3053,5240),N(3048,5337,-0.801107)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1710,2799),-151	G(3053,5240),N(3048,5337,-0.801107)
バスタオル2補正X 無し lidar(1710,2799),4	G(3053,5240),N(3047,5336,-0.750722)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1710,2799),-151	G(3053,5240),N(3047,5336,-0.750722)
バスタオル2補正X 無し lidar(1710,2799),4	G(3053,5240),N(3048,5336,-0.658523)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1710,2799),-151	G(3053,5240),N(3048,5336,-0.658523)
バスタオル2補正X 無し lidar(1711,2796),4	G(3053,5240),N(3048,5333,-0.353431)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1711,2796),-154	G(3053,5240),N(3048,5333,-0.353431)
バスタオル2補正X 無し lidar(1711,2796),4	G(3053,5240),N(3048,5330,-0.112781)	RS(0,0)	12
RS無視 RS_Y:0,50000,0 X:0	lidar(1711,2796),-154	G(3053,5240),N(3048,5330,-0.112781)
バスタオル2補正X 無し lidar(1710,2796),4	G(3053,5240),N(3048,5327,0.174167)	RS(0,0)	13
RS無視 RS_Y:0,50000,0 X:0	lidar(1710,2796),-154	G(3053,5240),N(3048,5327,0.174167)
バスタオル2補正X 無し lidar(1710,2796),4	G(3053,5240),N(3049,5323,0.478819)	RS(0,0)	13
RS無視 RS_Y:0,50000,0 X:0	lidar(1710,2796),-154	G(3053,5240),N(3049,5323,0.478819)
バスタオル2補正X 無し lidar(1709,2810),4	G(3053,5240),N(3049,5312,0.967533)	RS(0,0)	13
バスタオル2補正Y lidar(1709,2810),-140	G(3053,5172),N(3049,5312,0.967533)	RS(0,0)
バスタオル2補正X 無し lidar(1709,2810),4	G(3053,5172),N(3050,5305,1.088359)	RS(0,0)	13
バスタオル2補正Y lidar(1709,2810),-140	G(3053,5165),N(3050,5305,1.088359)	RS(0,0)
バスタオル2補正X 無し lidar(1708,2810),4	G(3053,5165),N(3050,5297,1.111542)	RS(0,0)	13
バスタオル2補正Y lidar(1708,2810),-140	G(3053,5157),N(3050,5297,1.111542)	RS(0,0)
