10月21日20時42分	赤 予選
干し補正X 無視lidar(2029,1418),949	G(3880,6632),N(2840,6619)
干し補正X 無視lidar(1981,1419),901	G(3880,6632),N(2851,6618)
干し補正Y RS_Y:2151,10	G(3880,6630),N(2851,6618)
干し補正X 無視lidar(1981,1419),901	G(3880,6630),N(2872,6619)
干し補正X 無視lidar(1937,1416),857	G(3880,6630),N(2891,6618)
干し補正Y RS_Y:2153,12	G(3880,6631),N(2891,6618)
干し補正X 無視lidar(1937,1416),857	G(3880,6631),N(2910,6615)
干し補正X 無視lidar(1898,1411),818	G(3880,6631),N(2931,6617)
干し補正X 無視lidar(1898,1411),818	G(3880,6631),N(2951,6620)
干し補正Y RS_Y:2157,16	G(3880,6636),N(2951,6620)
干し補正X 無視lidar(1898,1411),818	G(3880,6636),N(2971,6621)
干し補正X 無視lidar(1859,1411),779	G(3880,6636),N(2981,6621)
干し補正X 無視lidar(1859,1411),779	G(3880,6636),N(3001,6623)
干し補正Y RS_Y:2158,17	G(3880,6640),N(3001,6623)
干し補正X 無視lidar(1804,1409),724	G(3880,6640),N(3021,6623)
干し補正Y RS_Y:2164,23	G(3880,6646),N(3021,6623)
干し補正X 無視lidar(1804,1409),724	G(3880,6646),N(3041,6624)
干し補正X 無視lidar(1755,1407),675	G(3880,6646),N(3061,6625)
干し補正X 無視lidar(1755,1407),675	G(3880,6646),N(3080,6626)
干し補正X 無視lidar(1755,1407),675	G(3880,6646),N(3100,6628)
干し補正Y RS_Y:2160,19	G(3880,6646),N(3100,6628)
干し補正X 無視lidar(1702,1400),622	G(3880,6646),N(3110,6629)
干し補正X 無視lidar(1702,1400),622	G(3880,6646),N(3129,6632)
干し補正X 無視lidar(1651,1400),571	G(3880,6646),N(3150,6633)
干し補正Y RS_Y:2146,5	G(3880,6639),N(3150,6633)
干し補正X 無視lidar(1651,1400),571	G(3880,6639),N(3170,6636)
干し補正Y RS_Y:2138,-1	G(3880,6634),N(3170,6636)
干し補正X 無視lidar(1616,1403),536	G(3880,6634),N(3191,6638)
