10月21日20時42分	赤 予選
シーツ補正X 無視lidar(2998,1764),-32	G(1950,6729),N(1770,6355)	RS(918,2465)
シーツ補正X 無視lidar(3005,1764),-25	G(1950,6729),N(1769,6360)	RS(918,2465)
シーツ補正X 無視lidar(3005,1764),-25	G(1950,6729),N(1768,6363)	RS(913,2453)
シーツ補正X 無視lidar(3023,1757),-7	G(1950,6729),N(1765,6367)	RS(913,2453)
シーツ補正X 無視lidar(3023,1757),-7	G(1950,6729),N(1764,6371)	RS(907,2440)
シーツ補正X 無視lidar(3023,1757),-7	G(1950,6729),N(1761,6375)	RS(907,2440)
シーツ補正X 無視lidar(3030,1743),0	G(1950,6729),N(1758,6381)	RS(902,2421)
シーツ補正X 無視lidar(3030,1743),0	G(1950,6729),N(1755,6386)	RS(902,2421)
シーツ補正X 無視lidar(3030,1731),0	G(1950,6729),N(1753,6393)	RS(904,2413)
シーツ補正X 無視lidar(3030,1731),0	G(1950,6729),N(1749,6398)	RS(904,2413)
シーツ補正X 無視lidar(3040,1714),10	G(1950,6729),N(1746,6402)	RS(906,2401)
シーツ補正X 無視lidar(3040,1714),10	G(1950,6729),N(1744,6405)	RS(906,2401)
シーツ補正X 無視lidar(3041,1702),11	G(1950,6729),N(1743,6409)	RS(911,2393)
シーツ補正X lidar(3041,1702),11	G(1753,6729),N(1742,6414)	RS(920,2380)
シーツ補正Y lidar(3041,1702),322	G(1753,6736),N(1742,6414)	RS(920,2380)
シーツ補正X lidar(3041,1702),11	G(1751,6736),N(1740,6423)	RS(920,2380)
シーツ補正Y lidar(3041,1702),322	G(1751,6745),N(1740,6423)	RS(920,2380)
シーツ補正X lidar(3034,1698),4	G(1741,6745),N(1737,6433)	RS(927,2373)
