11月16日10時45分	青 予選
シーツ補正X lidar(3777,1743),-3	G(-3626,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3777,1743),-3	G(-3626,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3791,1744),11	G(-3612,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3791,1744),11	G(-3612,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3791,1744),11	G(-3612,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3788,1747),8	G(-3615,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3788,1747),8	G(-3615,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3786,1746),6	G(-3617,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3786,1746),6	G(-3617,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3792,1746),12	G(-3611,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3792,1746),12	G(-3611,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3794,1747),14	G(-3609,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3794,1747),14	G(-3609,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3794,1747),14	G(-3609,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3792,1744),12	G(-3611,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3792,1744),12	G(-3611,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3785,1747),5	G(-3618,6440),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3785,1747),5	G(-3618,6440),N(-3623,6447)	RS(0,0)
シーツ補正Y lidar(3785,1747),302	G(-3618,6749),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3790,1747),10	G(-3612,6749),N(-3622,6447)	RS(0,0)
シーツ補正Y lidar(3790,1747),302	G(-3612,6749),N(-3622,6447)	RS(0,0)
シーツ補正X lidar(3790,1747),10	G(-3612,6749),N(-3622,6446)	RS(0,0)
シーツ補正Y lidar(3790,1747),302	G(-3612,6748),N(-3622,6446)	RS(0,0)
シーツ補正X lidar(3789,1744),9	G(-3614,6748),N(-3623,6446)	RS(0,0)
シーツ補正Y lidar(3789,1744),299	G(-3614,6745),N(-3623,6446)	RS(0,0)
シーツ補正X lidar(3789,1744),9	G(-3613,6745),N(-3622,6446)	RS(0,0)
シーツ補正Y lidar(3789,1744),299	G(-3613,6745),N(-3622,6446)	RS(0,0)
シーツ補正X lidar(3789,1744),9	G(-3613,6745),N(-3622,6446)	RS(0,0)
シーツ補正Y lidar(3789,1744),299	G(-3613,6745),N(-3622,6446)	RS(0,0)
シーツ補正X lidar(3795,1748),15	G(-3608,6745),N(-3623,6446)	RS(0,0)
シーツ補正Y lidar(3795,1748),303	G(-3608,6749),N(-3623,6446)	RS(0,0)
シーツ補正X lidar(3795,1748),15	G(-3608,6749),N(-3623,6446)	RS(0,0)
シーツ補正Y lidar(3795,1748),303	G(-3608,6749),N(-3623,6446)	RS(0,0)
シーツ補正X lidar(3791,1757),11	G(-3612,6749),N(-3623,6446)	RS(0,0)
シーツ補正Y lidar(3791,1757),312	G(-3612,6758),N(-3623,6446)	RS(0,0)
シーツ補正X lidar(3791,1757),11	G(-3612,6758),N(-3623,6446)	RS(0,0)
シーツ補正Y lidar(3791,1757),312	G(-3612,6758),N(-3623,6446)	RS(0,0)
シーツ補正X lidar(3779,1756),-1	G(-3624,6758),N(-3623,6447)	RS(0,0)
シーツ補正Y lidar(3779,1756),311	G(-3624,6758),N(-3623,6447)	RS(0,0)
シーツ補正X lidar(3779,1756),-1	G(-3623,6758),N(-3622,6448)	RS(0,0)
シーツ補正Y lidar(3779,1756),311	G(-3623,6759),N(-3622,6448)	RS(0,0)
シーツ補正X lidar(3776,1755),-4	G(-3625,6759),N(-3621,6450)	RS(0,0)
シーツ補正Y lidar(3776,1755),310	G(-3625,6760),N(-3621,6450)	RS(0,0)
シーツ補正X lidar(3776,1755),-4	G(-3624,6760),N(-3620,6452)	RS(0,0)
シーツ補正Y lidar(3776,1755),310	G(-3624,6762),N(-3620,6452)	RS(0,0)
シーツ補正X lidar(3776,1755),-4	G(-3623,6762),N(-3619,6454)	RS(0,0)
シーツ補正Y lidar(3776,1755),310	G(-3623,6764),N(-3619,6454)	RS(0,0)
シーツ補正X lidar(3772,1748),-8	G(-3625,6764),N(-3617,6460)	RS(0,0)
シーツ補正Y lidar(3772,1748),303	G(-3625,6763),N(-3617,6460)	RS(0,0)
シーツ補正X lidar(3772,1748),-8	G(-3624,6763),N(-3616,6463)	RS(0,0)
シーツ補正Y lidar(3772,1748),303	G(-3624,6766),N(-3616,6463)	RS(0,0)
シーツ補正X lidar(3775,1740),-5	G(-3620,6766),N(-3615,6467)	RS(0,0)
シーツ補正Y lidar(3775,1740),295	G(-3620,6762),N(-3615,6467)	RS(0,0)
シーツ補正X lidar(3775,1740),-5	G(-3618,6762),N(-3613,6478)	RS(0,0)
シーツ補正Y lidar(3775,1740),295	G(-3618,6773),N(-3613,6478)	RS(0,0)
シーツ補正X lidar(3769,1713),-11	G(-3624,6773),N(-3613,6484)	RS(0,0)
シーツ補正Y lidar(3769,1713),268	G(-3624,6752),N(-3613,6484)	RS(0,0)
シーツ補正X lidar(3769,1713),-11	G(-3624,6752),N(-3613,6491)	RS(0,0)
シーツ補正Y lidar(3769,1713),268	G(-3624,6759),N(-3613,6491)	RS(0,0)
シーツ補正X lidar(3774,1700),-6	G(-3620,6759),N(-3614,6498)	RS(0,0)
シーツ補正Y lidar(3774,1700),255	G(-3620,6753),N(-3614,6498)	RS(0,0)
シーツ補正X lidar(3774,1700),-6	G(-3621,6753),N(-3615,6514)	RS(0,0)
シーツ補正Y lidar(3774,1700),255	G(-3621,6769),N(-3615,6514)	RS(0,0)
シーツ補正X lidar(3774,1700),-6	G(-3621,6769),N(-3615,6522)	RS(0,0)
シーツ補正Y lidar(3774,1700),255	G(-3621,6777),N(-3615,6522)	RS(0,0)
シーツ補正X lidar(3780,1676),0	G(-3616,6777),N(-3616,6531)	RS(0,0)
シーツ補正Y lidar(3780,1676),231	G(-3616,6762),N(-3616,6531)	RS(0,0)
シーツ補正X lidar(3780,1676),0	G(-3617,6762),N(-3617,6541)	RS(0,0)
シーツ補正Y lidar(3780,1676),231	G(-3617,6772),N(-3617,6541)	RS(0,0)
シーツ補正X lidar(3781,1676),1	G(-3618,6772),N(-3619,6560)	RS(0,0)
シーツ補正Y lidar(3781,1676),231	G(-3618,6791),N(-3619,6560)	RS(0,0)
シーツ補正X lidar(3781,1676),1	G(-3619,6791),N(-3620,6571)	RS(0,0)
シーツ補正Y lidar(3781,1676),231	G(-3619,6802),N(-3620,6571)	RS(0,0)
シーツ補正X lidar(3779,1654),-1	G(-3621,6802),N(-3620,6581)	RS(0,0)
シーツ補正Y lidar(3779,1654),209	G(-3621,6790),N(-3620,6581)	RS(0,0)
シーツ補正X lidar(3779,1654),-1	G(-3622,6790),N(-3621,6603)	RS(0,0)
シーツ補正Y lidar(3779,1654),209	G(-3622,6812),N(-3621,6603)	RS(0,0)
シーツ補正X lidar(3786,1621),6	G(-3615,6812),N(-3621,6613)	RS(0,0)
シーツ補正Y lidar(3786,1621),176	G(-3615,6789),N(-3621,6613)	RS(0,0)
シーツ補正X lidar(3786,1621),6	G(-3615,6789),N(-3621,6624)	RS(0,0)
シーツ補正Y lidar(3786,1621),176	G(-3615,6800),N(-3621,6624)	RS(0,0)
シーツ補正X lidar(3786,1621),6	G(-3615,6800),N(-3621,6635)	RS(0,0)
シーツ補正Y lidar(3786,1621),176	G(-3615,6811),N(-3621,6635)	RS(0,0)
シーツ補正X lidar(3783,1592),3	G(-3618,6811),N(-3621,6657)	RS(0,0)
シーツ補正Y lidar(3783,1592),147	G(-3618,6804),N(-3621,6657)	RS(0,0)
シーツ補正X lidar(3783,1592),3	G(-3618,6804),N(-3621,6668)	RS(0,0)
シーツ補正Y lidar(3783,1592),147	G(-3618,6815),N(-3621,6668)	RS(0,0)
シーツ補正X lidar(3777,1556),-3	G(-3623,6815),N(-3620,6680)	RS(0,0)
シーツ補正Y lidar(3777,1556),111	G(-3623,6791),N(-3620,6680)	RS(0,0)
シーツ補正X lidar(3777,1556),-53	G(-3672,6791),N(-3619,6691)	RS(0,0)
シーツ補正Y lidar(3777,1556),111	G(-3672,6802),N(-3619,6691)	RS(0,0)
シーツ補正X lidar(3775,1513),-55	G(-3673,6802),N(-3618,6712)	RS(0,0)
シーツ補正Y lidar(3775,1513),68	G(-3673,6780),N(-3618,6712)	RS(0,0)
シーツ補正X lidar(3775,1513),-55	G(-3672,6780),N(-3617,6722)	RS(0,0)
シーツ補正Y lidar(3775,1513),68	G(-3672,6790),N(-3617,6722)	RS(0,0)
シーツ補正X lidar(3765,1469),-65	G(-3681,6790),N(-3616,6732)	RS(0,0)
シーツ補正Y lidar(3765,1469),24	G(-3681,6756),N(-3616,6732)	RS(0,0)
シーツ補正X lidar(3765,1469),-65	G(-3681,6756),N(-3616,6741)	RS(0,0)
シーツ補正Y lidar(3765,1469),24	G(-3681,6765),N(-3616,6741)	RS(0,0)
シーツ補正X lidar(3765,1469),-65	G(-3681,6765),N(-3616,6756)	RS(0,0)
シーツ補正Y lidar(3765,1469),24	G(-3681,6780),N(-3616,6756)	RS(0,0)
シーツ補正X lidar(3772,1448),-58	G(-3674,6780),N(-3616,6763)	RS(0,0)
シーツ補正Y lidar(3772,1448),3	G(-3674,6766),N(-3616,6763)	RS(0,0)
シーツ補正X lidar(3772,1448),-58	G(-3675,6766),N(-3617,6768)	RS(0,0)
シーツ補正Y lidar(3772,1448),3	G(-3675,6771),N(-3617,6768)	RS(0,0)
シーツ補正X lidar(3772,1430),-58	G(-3677,6771),N(-3619,6772)	RS(0,0)
シーツ補正Y lidar(3772,1430),-15	G(-3677,6757),N(-3619,6772)	RS(0,0)
シーツ補正X lidar(3772,1430),-58	G(-3678,6757),N(-3620,6772)	RS(0,0)
シーツ補正Y lidar(3772,1430),-15	G(-3678,6757),N(-3620,6772)	RS(0,0)
シーツ補正X lidar(3777,1418),-53	G(-3674,6757),N(-3621,6771)	RS(0,0)
シーツ補正Y lidar(3777,1418),-27	G(-3674,6744),N(-3621,6771)	RS(0,0)
シーツ補正X lidar(3777,1418),-53	G(-3675,6744),N(-3622,6770)	RS(0,0)
シーツ補正Y lidar(3777,1418),-27	G(-3675,6743),N(-3622,6770)	RS(0,0)
シーツリミットまで RS_X:0,50000	G(-3677,6743),N(-3627,6766,-0.046653)	lidar(3787,1418)
シーツ補正Y lidar(3787,1418),-27	G(-3677,6739),N(-3627,6766)	RS(0,0)
シーツリミットまで RS_X:0,50000	G(-3680,6739),N(-3630,6762,-0.055355)	lidar(3787,1418)
シーツ補正Y lidar(3787,1418),-27	G(-3680,6735),N(-3630,6762)	RS(0,0)
シーツリミットまで RS_X:0,50000	G(-3684,6735),N(-3634,6758,-0.059126)	lidar(3787,1418)
シーツ補正Y lidar(3787,1418),-27	G(-3684,6731),N(-3634,6758)	RS(0,0)
シーツリミットまで RS_X:0,50000	G(-3689,6731),N(-3639,6753,-0.040185)	lidar(3785,1418)
シーツ補正Y lidar(3785,1418),-27	G(-3689,6726),N(-3639,6753)	RS(0,0)
シーツリミットまで RS_X:0,50000	G(-3698,6726),N(-3648,6743,-0.029814)	lidar(3785,1418)
