11月3日16時31分	青 決勝
11月3日16時31分	青 決勝
バスタオル1補正X フェンス lidar(2141,2804),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X フェンス lidar(2141,2804),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X フェンス lidar(2141,2802),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X フェンス lidar(2141,2802),11	G(-2063,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X フェンス lidar(2129,2805),-1	G(-2075,5340),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正X OK lidar(2129,2805),RS(-50000,-50000),0	G(-2075,5270),N(-2074,5340,-0.536209)
バスタオル1補正X 無し lidar(2129,2805),-1	G(-2075,5270),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2129,2805),-145	G(-2075,5196),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2136,2804),-1	G(-2075,5196),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2136,2804),-146	G(-2075,5195),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2136,2804),-1	G(-2075,5195),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2136,2804),-146	G(-2075,5195),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2126,2813),-1	G(-2075,5195),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2126,2813),-137	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2126,2813),-1	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2126,2813),-137	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2126,2813),-1	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2126,2813),-137	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2121,2813),-1	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2121,2813),-137	G(-2075,5204),N(-2074,5341,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2121,2813),-1	G(-2075,5204),N(-2074,5340,-0.536209)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2121,2813),-137	G(-2075,5203),N(-2074,5340,-0.536209)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2129,2814),-1	G(-2075,5203),N(-2073,5340,-0.534435)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2129,2814),-136	G(-2075,5204),N(-2073,5340,-0.534435)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2129,2814),-1	G(-2075,5204),N(-2073,5340,-0.510509)	RS(-50000,-50000)	9
バスタオル1補正Y lidar(2129,2814),-136	G(-2075,5204),N(-2073,5340,-0.510509)	RS(-50000,-50000)
バスタオル1補正X 無し lidar(2127,2812),-1	G(-2075,5204),N(-2072,5339,-0.489768)	RS(-50000,-50000)	9
